Sector,MSME_ID,Export_Volume_PreFTA,Export_Volume_PostFTA_Est,Tariff_PreFTA,Tariff_PostFTA,UK_Demand_Growth,Production_Capacity,Export_Experience,Logistics_Cost,Certifications,Workforce_Size,FTA_Access_Score,UK_Market_Share,Sentiment_Score,Exchange_Rate_Impact,Procurement_Opportunity,Innovation_Index,Target_Export_Growth
electronics,MSME_EL04522,10.98,14.37,38.96,4.23,17.38,127.42,5,3.4,2,206,0.88,1.59,0.69,-6.8,True,0.55,28.34
pharmaceuticals,MSME_PH04523,10.9,16.18,27.65,4.04,3.83,133.17,7,3.37,2,8,0.52,7.75,0.79,-9.68,False,0.53,90.09
leather,MSME_LE04524,1.6300000000000001,2.23,14.4,1.96,2.46,182.09,8,1.87,1,341,0.49,9.64,0.49,-4.55,False,0.36,31.95
alcoholic beverages,MSME_AL04525,1.73,1.95,111.02,31.08,0.11,57.48,1,0.8,3,149,0.36,3.52,0.53,9.9,False,0.48,69.61
marine products,MSME_MA04526,2.58,3.41,12.14,3.37,6.28,24.48,12,2.62,0,14,0.52,3.51,0.55,-5.6,False,0.44,98.12
gems and jewelry,MSME_GE04527,8.42,10.66,15.03,0.19,9.86,44.91,5,2.76,1,263,0.74,7.26,0.73,-2.94,False,0.32,28.01
alcoholic beverages,MSME_AL04528,9.41,12.36,133.28,38.06,10.01,171.28,18,4.52,0,123,0.61,9.04,0.4,-7.72,False,0.33,52.4
textiles,MSME_TE04529,2.58,3.51,15.03,0.63,0.03,26.1,16,3.04,2,20,0.48,1.03,0.8,5.11,False,0.49,14.55
electronics,MSME_EL04530,16.59,24.55,20.92,1.48,11.38,164.86,16,3.27,1,172,0.75,4.5,0.77,-4.06,True,0.5,41.2
marine products,MSME_MA04531,9.799999999999999,13.83,11.66,0.72,5.89,125.1,19,3.84,3,419,0.62,6.63,0.57,-1.31,False,0.4,79.75
textiles,MSME_TE04532,25.0,35.82,11.61,1.12,6.15,143.99,7,2.61,0,277,0.61,3.91,0.78,6.37,False,0.35,25.28
pharmaceuticals,MSME_PH04533,5.529999999999999,7.4,21.87,0.77,5.44,151.99,18,1.2,2,126,0.62,6.74,0.8,-1.65,False,0.64,71.75
electronics,MSME_EL04534,15.129999999999999,21.03,4.41,3.59,10.68,100.75,11,0.7,0,209,0.36,8.76,0.69,-6.8,True,0.32,77.76
chemicals,MSME_CH04535,1.04,1.16,5.52,2.8,7.43,49.63,20,4.28,0,226,0.43,4.8,0.7,0.34,True,0.45,45.65
marine products,MSME_MA04536,4.05,5.12,30.51,2.78,12.42,11.22,3,4.11,3,402,0.76,1.49,0.54,-4.75,False,0.34,12.69
pharmaceuticals,MSME_PH04537,4.43,5.3,39.69,2.58,5.39,182.68,10,2.76,3,343,0.6,6.29,0.79,-0.33,False,0.81,84.13
pharmaceuticals,MSME_PH04538,3.15,4.48,7.72,1.87,1.19,161.65,14,2.38,2,493,0.41,2.21,0.88,0.67,False,0.59,48.93
footwear,MSME_FO04539,7.27,10.19,30.0,1.23,9.27,155.89,8,1.09,2,88,0.71,9.19,0.56,4.32,False,0.42,27.43
leather,MSME_LE04540,10.16,13.52,24.43,3.03,3.67,27.83,15,1.56,1,163,0.53,9.34,0.56,-4.19,False,0.34,81.23
gems and jewelry,MSME_GE04541,0.39,0.48,31.2,2.56,10.34,13.83,14,2.98,2,319,0.72,1.49,0.61,6.84,False,0.36,11.41
pharmaceuticals,MSME_PH04542,3.5700000000000003,5.18,11.23,2.25,6.04,10.15,14,4.73,5,385,0.55,2.01,0.8,-8.16,False,0.51,6.62
textiles,MSME_TE04543,1.6,2.34,14.47,0.37,9.7,191.15,6,2.72,0,11,0.73,4.25,0.69,3.29,False,0.39,96.4
marine products,MSME_MA04544,3.6,5.24,20.29,3.34,5.79,183.55,8,0.63,2,350,0.56,7.75,0.59,-3.06,False,0.41,77.95
marine products,MSME_MA04545,2.68,3.34,36.33,2.25,6.71,82.29,16,3.66,3,67,0.64,3.85,0.6,-4.35,False,0.41,96.24
alcoholic beverages,MSME_AL04546,2.5700000000000003,3.82,132.83,37.95,5.0,45.27,1,0.15,2,194,0.48,8.26,0.42,8.76,False,0.38,80.69
footwear,MSME_FO04547,1.6,1.8,35.26,4.64,10.62,154.13,9,4.88,3,205,0.7,2.26,0.6,-8.43,False,0.44,7.85
textiles,MSME_TE04548,9.9,14.16,17.94,2.76,14.6,91.94,14,0.17,2,9,0.79,2.4,0.72,-8.91,False,0.49,16.32
electronics,MSME_EL04549,6.1499999999999995,8.08,22.11,0.53,12.43,156.09,5,4.67,1,27,0.8,9.42,0.64,4.97,True,0.38,62.23
chemicals,MSME_CH04550,7.1,10.52,31.12,2.69,3.08,91.68,19,3.16,3,454,0.53,7.91,0.71,-9.07,True,0.33,61.89
chemicals,MSME_CH04551,1.9400000000000002,2.34,38.23,1.83,8.47,107.08,14,3.39,0,398,0.69,3.88,0.65,-8.68,True,0.36,88.99
textiles,MSME_TE04552,1.05,1.25,12.05,4.45,10.5,176.43,19,4.64,1,131,0.58,3.15,0.73,-3.19,False,0.36,80.91
leather,MSME_LE04553,0.95,1.32,5.2,2.48,2.36,121.49,17,1.07,2,490,0.32,9.53,0.49,-6.91,False,0.48,42.78
alcoholic beverages,MSME_AL04554,6.1,7.95,139.67,30.45,4.86,9.97,16,0.47,2,24,0.51,9.47,0.42,4.78,False,0.34,74.7
footwear,MSME_FO04555,2.95,3.31,11.15,2.14,11.04,27.05,14,0.36,2,222,0.68,8.14,0.56,-9.18,False,0.31,57.2
leather,MSME_LE04556,3.02,4.49,37.47,3.3,-4.28,100.89,1,0.34,3,437,0.35,0.14,0.57,-6.43,False,0.45,22.57
textiles,MSME_TE04557,23.400000000000002,33.73,17.37,2.96,3.64,24.29,1,2.21,2,300,0.51,1.78,0.74,1.24,False,0.44,33.4
alcoholic beverages,MSME_AL04558,7.67,9.76,108.13,31.95,4.18,32.05,13,1.51,1,393,0.46,8.19,0.47,-3.09,False,0.35,79.3
alcoholic beverages,MSME_AL04559,9.82,14.57,121.01,35.62,9.22,125.73,3,4.47,1,419,0.58,0.52,0.43,8.8,False,0.47,39.35
leather,MSME_LE04560,15.9,22.97,36.08,2.98,4.58,162.01,7,1.81,2,484,0.57,5.66,0.58,5.81,False,0.32,64.66
electronics,MSME_EL04561,7.699999999999999,9.67,11.02,2.4,13.1,102.22,5,4.38,3,366,0.72,0.59,0.73,1.04,True,0.41,28.01
textiles,MSME_TE04562,1.12,1.49,10.56,4.7,1.85,190.34,12,2.82,1,263,0.32,6.16,0.83,-3.42,False,0.35,84.61
gems and jewelry,MSME_GE04563,16.26,20.63,1.65,0.9,12.85,24.77,18,0.52,3,376,0.55,1.86,0.67,-1.84,False,0.43,39.68
leather,MSME_LE04564,2.5,3.59,12.37,3.28,3.49,30.95,12,3.73,2,368,0.45,8.04,0.47,-5.79,False,0.42,46.42
textiles,MSME_TE04565,10.36,12.6,13.31,0.83,14.73,23.65,19,4.1,0,28,0.84,7.46,0.78,-7.84,False,0.38,45.37
electronics,MSME_EL04566,33.83,42.5,3.33,0.34,16.98,58.17,14,3.88,3,228,0.87,8.57,0.67,7.58,True,0.64,23.84
pharmaceuticals,MSME_PH04567,2.01,2.67,14.97,1.17,7.19,37.42,4,1.1,5,368,0.64,4.06,0.8,-1.49,False,0.46,26.32
footwear,MSME_FO04568,0.66,0.78,22.67,3.53,11.08,74.34,15,2.01,2,372,0.7,7.77,0.39,1.31,False,0.37,71.57
marine products,MSME_MA04569,5.89,7.83,2.31,0.63,0.59,143.84,9,4.81,3,166,0.38,8.05,0.68,6.19,False,0.48,87.19
gems and jewelry,MSME_GE04570,13.27,19.56,11.93,1.1,9.65,25.1,2,3.88,0,101,0.7,6.54,0.66,-1.38,False,0.36,37.16
marine products,MSME_MA04571,1.73,1.93,10.46,4.18,10.92,124.56,8,2.2,0,172,0.57,1.52,0.62,0.08,False,0.48,67.14
marine products,MSME_MA04572,1.2200000000000002,1.68,35.77,0.15,3.64,31.06,0,1.69,1,151,0.59,5.53,0.53,-1.07,False,0.36,41.46
leather,MSME_LE04573,3.25,4.35,5.23,3.82,1.81,60.1,11,1.54,1,376,0.18,7.09,0.61,-6.9,False,0.35,74.17
alcoholic beverages,MSME_AL04574,18.42,25.66,143.11,30.37,8.66,182.86,4,1.06,1,26,0.61,8.66,0.39,6.49,False,0.39,83.15
textiles,MSME_TE04575,3.42,4.56,17.48,1.32,3.7,133.73,11,2.26,2,96,0.55,5.23,0.85,9.48,False,0.46,86.66
pharmaceuticals,MSME_PH04576,5.79,8.38,23.71,2.84,13.11,3.51,14,4.36,5,320,0.77,9.58,0.84,3.31,False,0.57,48.79
pharmaceuticals,MSME_PH04577,9.24,10.68,20.88,1.55,14.76,1.24,10,2.88,4,416,0.83,2.59,0.84,0.48,False,0.5,50.69
alcoholic beverages,MSME_AL04578,0.98,1.28,102.37,38.4,9.41,188.33,20,4.83,1,68,0.55,2.14,0.35,8.34,False,0.5,93.4
footwear,MSME_FO04579,3.5700000000000003,4.93,6.86,4.75,4.26,38.95,9,0.48,3,499,0.26,0.61,0.53,9.05,False,0.43,86.28
alcoholic beverages,MSME_AL04580,4.0,4.71,131.33,35.05,6.12,74.68,15,2.38,1,220,0.52,5.35,0.53,-9.91,False,0.31,63.1
gems and jewelry,MSME_GE04581,1.11,1.59,25.1,4.9,10.92,18.6,14,0.28,2,347,0.68,1.36,0.69,3.28,False,0.41,65.16
gems and jewelry,MSME_GE04582,3.65,4.03,10.13,4.42,13.94,19.89,17,2.69,1,422,0.63,4.92,0.62,8.23,False,0.36,84.7
footwear,MSME_FO04583,13.79,19.61,21.09,2.82,12.29,9.38,3,1.69,1,175,0.74,3.01,0.45,6.83,False,0.5,31.72
leather,MSME_LE04584,2.3400000000000003,3.48,14.32,2.78,2.69,87.95,18,4.17,1,487,0.47,6.19,0.53,5.72,False,0.38,22.3
leather,MSME_LE04585,0.5,0.65,27.35,0.81,-0.79,113.94,2,1.62,1,325,0.47,0.65,0.44,5.08,False,0.42,97.76
chemicals,MSME_CH04586,2.2800000000000002,3.12,36.78,3.56,0.6,126.63,14,4.05,2,10,0.47,8.21,0.69,8.64,True,0.34,94.01
marine products,MSME_MA04587,4.17,4.86,29.44,1.48,3.31,34.83,2,2.23,2,334,0.56,1.75,0.65,-8.27,False,0.34,55.55
textiles,MSME_TE04588,0.82,1.21,12.19,4.17,12.28,28.67,7,4.13,2,255,0.64,9.54,0.74,-4.65,False,0.38,49.18
footwear,MSME_FO04589,1.4300000000000002,1.62,26.26,0.87,13.72,57.89,0,1.01,0,232,0.83,6.16,0.57,9.57,False,0.4,61.97
electronics,MSME_EL04590,9.34,11.52,7.2,2.17,13.19,173.29,16,3.46,1,127,0.68,7.17,0.81,-8.57,True,0.6,36.57
marine products,MSME_MA04591,0.37,0.49,14.41,2.95,7.7,55.61,8,2.43,0,339,0.59,9.33,0.57,-1.65,False,0.49,9.69
alcoholic beverages,MSME_AL04592,0.17,0.22,142.43,32.48,10.4,109.61,6,1.46,3,485,0.65,5.41,0.36,9.41,False,0.46,54.87
pharmaceuticals,MSME_PH04593,3.79,4.46,25.97,4.77,13.47,17.41,19,4.81,5,137,0.74,5.55,0.78,-8.51,False,0.81,16.2
alcoholic beverages,MSME_AL04594,5.26,5.91,107.83,35.12,0.69,39.52,2,0.25,2,417,0.35,4.56,0.43,-9.15,False,0.44,8.68
pharmaceuticals,MSME_PH04595,4.119999999999999,4.76,26.83,4.46,14.34,105.79,10,1.02,4,71,0.78,7.41,0.85,-9.47,False,0.56,98.0
alcoholic beverages,MSME_AL04596,1.8900000000000001,2.75,129.34,32.97,12.54,198.14,16,0.35,0,208,0.69,4.97,0.46,6.25,False,0.47,46.25
footwear,MSME_FO04597,7.949999999999999,9.91,33.94,3.09,5.38,149.22,15,4.0,3,289,0.59,5.76,0.56,-1.5,False,0.42,45.3
gems and jewelry,MSME_GE04598,1.54,1.85,34.59,0.78,1.85,19.87,10,1.33,3,351,0.53,8.63,0.74,-5.87,False,0.46,89.39
pharmaceuticals,MSME_PH04599,3.42,3.98,0.2,2.68,7.46,185.2,5,0.79,4,316,0.0,5.52,0.7,-4.31,False,0.42,53.87
alcoholic beverages,MSME_AL04600,0.31,0.46,143.05,32.72,5.04,49.56,20,4.27,0,387,0.51,5.39,0.53,3.32,False,0.34,85.09
footwear,MSME_FO04601,9.56,12.06,5.24,3.04,5.36,148.41,19,1.37,2,47,0.34,1.47,0.58,9.95,False,0.33,10.55
alcoholic beverages,MSME_AL04602,4.84,6.22,135.95,31.28,5.46,100.46,13,4.96,1,138,0.52,1.87,0.53,-3.27,False,0.47,61.4
footwear,MSME_FO04603,2.61,3.21,4.48,3.2,5.46,64.45,8,4.57,3,61,0.28,6.06,0.58,-7.54,False,0.43,89.39
chemicals,MSME_CH04604,2.9,3.98,11.8,1.34,2.78,48.68,1,2.86,3,219,0.51,2.97,0.69,5.79,True,0.38,91.76
marine products,MSME_MA04605,1.52,2.13,18.71,0.54,4.22,171.72,0,0.51,3,146,0.59,4.08,0.54,6.4,False,0.36,52.5
chemicals,MSME_CH04606,3.0500000000000003,4.04,16.07,2.48,10.19,83.23,7,0.53,0,21,0.68,9.24,0.77,-2.91,True,0.37,23.73
leather,MSME_LE04607,21.470000000000002,26.55,26.66,0.66,-0.5,159.27,12,3.25,3,208,0.48,5.8,0.5,4.59,False,0.47,17.09
gems and jewelry,MSME_GE04608,1.73,2.18,26.62,1.98,3.58,7.11,14,3.48,0,35,0.55,2.34,0.65,-9.49,False,0.44,58.77
chemicals,MSME_CH04609,0.82,0.94,35.81,3.42,5.82,67.95,14,1.47,2,229,0.6,5.17,0.59,-5.67,True,0.47,28.22
chemicals,MSME_CH04610,1.98,2.88,8.22,4.42,3.15,182.41,7,2.78,3,469,0.31,8.91,0.74,-9.21,True,0.5,58.8
textiles,MSME_TE04611,1.6,2.14,18.18,2.69,11.65,82.9,2,3.98,2,56,0.72,8.91,0.82,1.8,False,0.5,50.95
chemicals,MSME_CH04612,10.85,12.43,5.96,2.95,1.86,15.52,15,3.95,2,254,0.3,3.4,0.72,9.64,True,0.47,39.52
pharmaceuticals,MSME_PH04613,1.9300000000000002,2.76,21.97,0.82,4.92,132.53,16,3.51,5,401,0.6,2.78,0.73,-2.04,False,0.86,76.17
footwear,MSME_FO04614,7.85,10.26,8.53,2.96,11.58,1.27,7,2.4,0,343,0.62,9.82,0.54,6.3,False,0.42,58.35
pharmaceuticals,MSME_PH04615,6.859999999999999,7.66,37.9,0.96,1.23,68.12,20,1.2,4,424,0.52,0.67,0.77,-4.87,False,0.38,40.38
marine products,MSME_MA04616,1.05,1.3,17.78,3.71,3.41,95.28,13,2.29,0,491,0.48,9.51,0.68,3.92,False,0.35,91.83
leather,MSME_LE04617,4.03,5.81,33.29,0.29,1.2,157.9,17,2.87,1,40,0.53,4.72,0.49,-3.35,False,0.45,16.64
leather,MSME_LE04618,7.04,8.2,12.24,1.67,4.9,118.17,2,0.5,1,410,0.55,8.67,0.49,-1.73,False,0.38,84.36
gems and jewelry,MSME_GE04619,3.12,3.9,24.87,2.45,8.0,81.7,0,3.16,3,495,0.65,8.08,0.67,-5.99,False,0.42,59.9
marine products,MSME_MA04620,2.68,3.7,1.14,4.21,5.22,158.71,3,0.98,2,388,0.0,7.99,0.56,8.76,False,0.38,38.32
gems and jewelry,MSME_GE04621,0.88,0.99,14.0,0.46,6.94,172.07,14,2.43,3,228,0.66,1.75,0.73,-5.55,False,0.41,61.22
alcoholic beverages,MSME_AL04622,1.34,1.69,128.43,37.6,4.8,54.64,10,0.19,0,163,0.47,9.42,0.48,8.28,False,0.43,93.9
alcoholic beverages,MSME_AL04623,15.08,21.17,117.44,31.49,7.77,58.28,8,2.0,2,78,0.56,6.65,0.43,-5.58,False,0.47,22.62
textiles,MSME_TE04624,29.540000000000003,39.07,11.47,4.17,3.81,38.07,1,2.78,1,33,0.41,0.59,0.75,-9.06,False,0.33,91.45
footwear,MSME_FO04625,7.369999999999999,9.43,19.17,3.43,7.12,13.25,5,0.34,0,180,0.59,8.63,0.55,-7.65,False,0.44,9.4
leather,MSME_LE04626,24.950000000000003,34.25,38.76,3.34,-2.58,185.31,16,2.9,3,404,0.39,2.92,0.39,7.08,False,0.31,55.36
footwear,MSME_FO04627,9.16,10.18,11.29,0.26,8.93,63.69,0,2.87,3,439,0.71,3.43,0.57,-9.21,False,0.43,10.89
pharmaceuticals,MSME_PH04628,16.96,24.68,33.24,1.84,11.17,9.65,11,2.91,5,312,0.75,2.55,0.79,-8.45,False,0.43,14.15
marine products,MSME_MA04629,3.43,4.14,18.84,0.44,7.75,26.45,13,1.58,3,36,0.68,7.91,0.55,9.18,False,0.39,34.68
gems and jewelry,MSME_GE04630,17.790000000000003,22.29,0.36,4.1,2.54,143.72,2,3.91,3,49,0.0,4.72,0.66,4.02,False,0.49,48.12
pharmaceuticals,MSME_PH04631,6.63,9.5,25.42,2.77,10.98,71.22,0,3.58,3,31,0.72,4.31,0.81,3.22,False,0.44,76.35
alcoholic beverages,MSME_AL04632,4.46,5.76,134.63,35.52,11.48,171.76,11,1.07,3,241,0.66,1.11,0.45,-3.28,False,0.33,60.14
electronics,MSME_EL04633,0.42000000000000004,0.59,2.05,4.85,17.36,179.49,13,0.34,2,252,0.0,9.71,0.65,2.38,True,0.44,50.87
chemicals,MSME_CH04634,2.01,2.6,33.46,1.11,5.99,89.49,14,0.43,3,478,0.63,4.04,0.67,7.63,True,0.37,29.11
gems and jewelry,MSME_GE04635,2.73,3.61,29.36,2.38,12.27,163.84,7,0.25,3,74,0.77,0.47,0.68,7.47,False,0.31,48.35
gems and jewelry,MSME_GE04636,0.94,1.08,28.85,3.87,11.09,81.1,3,4.2,0,46,0.71,4.28,0.6,6.88,False,0.41,65.1
leather,MSME_LE04637,22.48,31.65,11.44,3.86,4.28,59.37,12,4.95,3,50,0.44,5.02,0.6,-7.18,False,0.41,15.87
footwear,MSME_FO04638,11.879999999999999,14.16,34.61,1.52,3.33,61.2,12,0.58,1,361,0.56,3.85,0.6,1.45,False,0.34,7.69
electronics,MSME_EL04639,0.64,0.88,33.88,3.91,17.9,52.56,18,0.48,2,352,0.89,1.06,0.68,-4.65,True,0.6,10.07
leather,MSME_LE04640,2.61,3.24,25.89,3.59,-4.1,8.09,4,1.93,2,375,0.33,4.27,0.5,-3.71,False,0.34,31.85
chemicals,MSME_CH04641,3.21,4.23,24.86,0.36,9.2,70.72,19,4.22,0,447,0.72,0.6,0.76,-8.26,True,0.44,61.47
leather,MSME_LE04642,5.1,5.93,20.65,3.84,1.84,88.02,11,3.75,2,494,0.45,2.34,0.48,4.27,False,0.46,70.39
leather,MSME_LE04643,2.8400000000000003,4.12,13.11,3.44,3.78,31.51,1,2.46,2,461,0.46,8.6,0.52,-7.74,False,0.32,35.06
leather,MSME_LE04644,2.77,3.46,15.68,4.26,3.37,161.2,19,0.79,3,225,0.45,5.99,0.56,8.23,False,0.43,31.18
footwear,MSME_FO04645,0.53,0.67,28.39,1.41,1.8,199.75,13,4.23,3,70,0.52,7.91,0.6,-1.99,False,0.5,13.7
leather,MSME_LE04646,4.13,5.84,27.05,2.53,0.13,81.38,17,1.82,0,124,0.46,7.69,0.56,-9.77,False,0.44,10.28
leather,MSME_LE04647,1.1300000000000001,1.29,15.13,3.98,2.07,21.79,16,1.0,1,405,0.42,8.72,0.59,9.26,False,0.42,90.62
leather,MSME_LE04648,8.53,9.91,8.92,0.34,-0.26,65.13,14,2.54,2,157,0.47,9.39,0.55,7.9,False,0.33,78.66
leather,MSME_LE04649,12.69,18.52,28.27,2.69,2.77,103.47,11,4.77,1,268,0.52,3.28,0.49,-7.34,False,0.34,77.25
gems and jewelry,MSME_GE04650,7.2299999999999995,9.07,13.98,2.09,4.51,121.75,0,4.24,1,347,0.54,4.61,0.63,-9.88,False,0.36,28.64
electronics,MSME_EL04651,1.9400000000000002,2.89,22.71,2.95,16.56,79.85,12,1.38,3,223,0.85,1.68,0.72,6.39,True,0.67,50.84
pharmaceuticals,MSME_PH04652,2.33,3.04,21.61,1.18,14.83,181.95,9,1.7,5,190,0.84,1.15,0.78,-6.96,False,0.83,17.74
pharmaceuticals,MSME_PH04653,4.59,5.63,16.72,1.06,9.37,197.74,4,3.81,5,21,0.7,9.89,0.93,-8.08,False,0.58,97.61
pharmaceuticals,MSME_PH04654,10.79,16.14,23.3,3.36,3.96,91.94,13,4.16,2,191,0.53,9.73,0.86,1.33,False,0.5,33.13
chemicals,MSME_CH04655,0.45999999999999996,0.61,5.74,2.84,9.37,88.7,12,2.19,2,35,0.49,4.63,0.72,-3.15,True,0.43,63.79
textiles,MSME_TE04656,0.57,0.68,14.94,1.83,4.8,89.42,9,3.8,1,64,0.56,1.38,0.66,-1.53,False,0.32,38.47
alcoholic beverages,MSME_AL04657,12.67,14.27,148.75,38.48,3.04,141.23,19,3.28,2,71,0.45,5.63,0.52,0.61,False,0.42,85.5
textiles,MSME_TE04658,7.33,9.67,18.93,1.79,7.39,130.06,6,3.34,1,417,0.64,6.4,0.73,-6.36,False,0.44,18.14
chemicals,MSME_CH04659,18.8,26.38,15.71,2.97,0.11,168.98,19,3.03,0,152,0.41,3.88,0.69,9.01,True,0.46,91.22
gems and jewelry,MSME_GE04660,1.9700000000000002,2.94,6.61,0.28,4.8,40.66,19,3.01,1,405,0.6,8.75,0.59,-0.47,False,0.44,58.38
gems and jewelry,MSME_GE04661,0.84,1.04,2.55,3.7,13.24,9.61,12,0.91,0,108,0.11,8.06,0.61,6.79,False,0.38,97.09
chemicals,MSME_CH04662,1.6,2.1,39.85,4.14,7.31,22.15,9,0.34,3,183,0.63,6.24,0.71,2.13,True,0.36,9.13
footwear,MSME_FO04663,7.869999999999999,11.46,24.55,2.41,12.91,48.45,14,1.76,2,286,0.77,4.69,0.55,-4.44,False,0.47,58.67
chemicals,MSME_CH04664,7.119999999999999,9.95,31.53,4.35,13.79,77.03,5,0.3,2,412,0.78,5.91,0.67,-0.52,True,0.41,80.56
electronics,MSME_EL04665,4.85,6.91,8.67,1.03,12.07,1.47,1,3.45,2,257,0.74,3.07,0.79,0.07,True,0.9,29.43
alcoholic beverages,MSME_AL04666,2.5700000000000003,3.2,101.63,35.1,3.13,26.16,15,1.89,2,354,0.41,2.75,0.54,-2.15,False,0.3,80.26
footwear,MSME_FO04667,2.14,2.55,20.22,0.04,12.96,52.64,2,2.2,3,462,0.82,9.99,0.5,8.46,False,0.33,92.15
marine products,MSME_MA04668,2.81,3.74,21.35,3.63,5.02,14.4,15,0.1,0,331,0.54,6.66,0.56,7.94,False,0.36,72.04
leather,MSME_LE04669,5.46,7.57,21.2,3.65,0.12,75.83,10,2.32,2,265,0.42,4.7,0.48,5.51,False,0.41,49.72
electronics,MSME_EL04670,1.59,2.33,34.53,2.16,16.6,101.87,0,1.91,1,383,0.88,7.99,0.65,-3.28,True,0.38,75.78
textiles,MSME_TE04671,2.41,3.46,18.79,4.56,12.27,157.89,19,0.6,2,66,0.69,1.37,0.68,8.51,False,0.43,82.61
alcoholic beverages,MSME_AL04672,3.9,4.53,118.83,38.82,0.23,41.83,20,1.35,0,269,0.34,1.11,0.44,-8.11,False,0.43,25.73
marine products,MSME_MA04673,3.37,4.87,32.99,0.73,1.33,133.02,14,2.36,0,300,0.52,1.27,0.58,-1.29,False,0.45,43.95
chemicals,MSME_CH04674,3.44,5.12,34.87,4.64,1.17,123.91,16,1.12,0,363,0.46,7.26,0.62,4.33,True,0.33,77.87
alcoholic beverages,MSME_AL04675,7.819999999999999,9.98,109.68,36.3,12.8,106.14,2,0.25,3,180,0.65,7.61,0.43,-0.01,False,0.38,15.71
textiles,MSME_TE04676,1.81,2.07,18.19,2.55,3.7,4.11,16,3.77,0,345,0.52,2.22,0.75,-3.36,False,0.38,16.82
alcoholic beverages,MSME_AL04677,3.5,4.9,120.47,38.67,7.15,180.17,16,3.31,0,128,0.52,8.51,0.45,-4.66,False,0.5,84.49
gems and jewelry,MSME_GE04678,15.17,20.74,26.32,4.21,10.73,121.43,19,0.15,0,86,0.69,4.25,0.63,-9.47,False,0.43,79.87
marine products,MSME_MA04679,0.95,1.38,7.26,2.11,7.91,63.12,7,3.61,0,207,0.55,9.23,0.7,7.24,False,0.5,61.56
electronics,MSME_EL04680,2.66,3.18,9.76,0.75,17.27,131.02,8,4.47,2,76,0.89,0.78,0.71,5.57,True,0.42,28.61
chemicals,MSME_CH04681,5.159999999999999,7.47,12.67,2.63,13.36,154.24,6,4.91,0,369,0.73,5.44,0.69,-3.78,True,0.43,77.7
pharmaceuticals,MSME_PH04682,0.31,0.45,20.55,2.9,3.09,2.55,3,3.93,4,107,0.51,6.81,0.76,9.78,False,0.51,13.03
alcoholic beverages,MSME_AL04683,1.9100000000000001,2.18,116.97,31.28,6.59,155.71,6,2.84,3,272,0.53,8.62,0.53,-2.49,False,0.33,12.84
chemicals,MSME_CH04684,5.1899999999999995,6.74,36.08,4.77,13.47,15.59,12,0.39,2,26,0.77,8.96,0.72,1.27,True,0.39,57.22
gems and jewelry,MSME_GE04685,2.8400000000000003,3.46,7.24,2.3,7.96,164.41,20,1.51,0,61,0.54,4.5,0.64,7.09,False,0.43,20.19
textiles,MSME_TE04686,3.5500000000000003,5.23,14.39,2.35,14.12,27.59,13,0.84,0,387,0.77,1.46,0.71,0.61,False,0.48,41.63
textiles,MSME_TE04687,9.58,13.2,17.8,3.81,4.53,47.63,3,4.91,0,381,0.51,5.59,0.7,5.52,False,0.31,14.41
leather,MSME_LE04688,0.23,0.27,4.77,2.32,-2.13,9.6,10,1.05,3,305,0.2,2.62,0.46,0.56,False,0.44,57.12
marine products,MSME_MA04689,0.18,0.22,17.67,1.71,8.19,102.87,13,2.31,2,122,0.66,5.55,0.63,-5.52,False,0.31,90.92
pharmaceuticals,MSME_PH04690,3.77,5.53,4.73,0.76,3.4,91.7,9,3.5,4,192,0.5,3.29,0.79,-2.58,False,0.5,85.03
gems and jewelry,MSME_GE04691,0.48,0.54,17.71,2.04,2.42,53.04,16,3.14,0,20,0.5,4.82,0.65,-0.44,False,0.42,81.4
gems and jewelry,MSME_GE04692,0.78,1.1,11.79,0.36,11.88,29.46,13,1.43,1,176,0.78,8.15,0.58,-8.08,False,0.4,68.3
footwear,MSME_FO04693,8.639999999999999,12.26,32.97,2.24,12.98,89.2,19,3.27,3,40,0.79,3.7,0.56,1.52,False,0.32,40.83
electronics,MSME_EL04694,15.629999999999999,18.23,24.81,4.17,17.71,154.39,19,4.87,2,294,0.86,9.55,0.79,6.98,True,0.88,97.57
alcoholic beverages,MSME_AL04695,2.09,2.87,107.35,38.11,2.39,178.19,3,3.43,2,268,0.38,2.49,0.47,-0.85,False,0.46,63.3
footwear,MSME_FO04696,0.43000000000000005,0.6,23.19,3.12,5.3,111.45,9,0.45,2,417,0.57,6.81,0.5,3.27,False,0.35,70.32
leather,MSME_LE04697,2.13,2.48,36.25,0.52,2.62,20.8,7,4.06,2,32,0.56,4.04,0.53,2.68,False,0.33,73.41
footwear,MSME_FO04698,4.449999999999999,5.05,34.73,0.64,6.57,26.67,15,4.31,2,276,0.66,6.73,0.56,6.75,False,0.49,37.61
chemicals,MSME_CH04699,1.31,1.55,34.31,4.15,9.76,13.06,16,3.68,2,112,0.68,6.28,0.71,0.85,True,0.35,93.76
gems and jewelry,MSME_GE04700,1.58,2.3,21.64,0.46,12.5,158.39,18,2.3,1,270,0.8,5.79,0.73,8.76,False,0.47,12.22
gems and jewelry,MSME_GE04701,9.69,13.24,12.67,4.27,0.35,167.59,11,4.53,2,357,0.34,5.87,0.71,-5.86,False,0.37,87.7
